year,scenario_id,latent_pre_run_delay_minutes,run_duration_reference,run_duration_seconds,withdraw_to_completion_seconds,withdraw_to_completion_minutes,session_cutoff_utc,latest_withdraw_time_utc,interpretation,policy_hash
2024,WAIT_05MIN,5.0,MEDIAN,155.77885,455.77885000000003,7.596314166666668,2024-05-18T21:50:00+00:00,2024-05-18T21:42:24.221150+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_05MIN,5.0,Q90,157.36603,457.36603,7.622767166666667,2024-05-18T21:50:00+00:00,2024-05-18T21:42:22.633970+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_05MIN,5.0,Q95,158.1034,458.10339999999997,7.635056666666666,2024-05-18T21:50:00+00:00,2024-05-18T21:42:21.896600+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_05MIN,5.0,MAX_OBSERVED,162.936,462.93600000000004,7.7156,2024-05-18T21:50:00+00:00,2024-05-18T21:42:17.064000+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_15MIN,15.0,MEDIAN,155.77885,1055.77885,17.596314166666666,2024-05-18T21:50:00+00:00,2024-05-18T21:32:24.221150+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_15MIN,15.0,Q90,157.36603,1057.36603,17.622767166666666,2024-05-18T21:50:00+00:00,2024-05-18T21:32:22.633970+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_15MIN,15.0,Q95,158.1034,1058.1034,17.635056666666667,2024-05-18T21:50:00+00:00,2024-05-18T21:32:21.896600+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_15MIN,15.0,MAX_OBSERVED,162.936,1062.936,17.7156,2024-05-18T21:50:00+00:00,2024-05-18T21:32:17.064000+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_30MIN,30.0,MEDIAN,155.77885,1955.77885,32.596314166666666,2024-05-18T21:50:00+00:00,2024-05-18T21:17:24.221150+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
2024,WAIT_30MIN,30.0,Q90,157.36603,1957.36603,32.62276716666666,2024-05-18T21:50:00+00:00,2024-05-18T21:17:22.633970+00:00,CONDITIONAL_LATEST_WITHDRAW_REFERENCE;NOT_HISTORICAL_DECISION_TIME,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
